week_start,dc_id,region,sku,forecast_demand_cases,actual_demand_cases,opening_inventory_cases,production_cases,inbound_cases,closing_inventory_cases,lost_sales_cases,service_level_pct,avg_lead_time_days,capacity_utilization_pct,expedite_flag
2024-04-15,DC_001,South,Heineken_650_Bottle,668.0,848,1124,422,0,698,0,1.0,5.80035869426233,0.6938014769456452,0
2024-04-22,DC_001,South,Heineken_650_Bottle,741.0,702,767,413,129,607,0,1.0,4.27879960731284,0.8098376990754583,0
2024-04-29,DC_001,South,Heineken_650_Bottle,510.0,510,781,259,214,744,0,1.0,3.0402476814187653,0.7043194718456911,0
2024-05-06,DC_001,South,Heineken_650_Bottle,513.0,690,837,263,38,448,0,1.0,3.9239988953921965,0.8994695443366081,0
2024-05-13,DC_001,South,Heineken_650_Bottle,662.0,677,810,258,145,536,0,1.0,5.626133232237496,0.5530359655590811,0
2024-05-20,DC_001,South,Heineken_650_Bottle,589.0,602,685,416,165,664,0,1.0,4.162501880847206,0.7014978622391572,0
2024-05-27,DC_001,South,Heineken_650_Bottle,471.0,445,685,333,463,1036,0,1.0,6.191646187924977,0.7438414421750992,0
2024-06-03,DC_001,South,Heineken_650_Bottle,494.0,563,703,226,308,674,0,1.0,5.271588903631571,0.6780902731836352,0
2024-06-10,DC_001,South,Heineken_650_Bottle,698.0,779,1060,414,335,1030,0,1.0,2.5871546957940375,0.8984423173437823,0
2024-06-17,DC_001,South,Heineken_650_Bottle,814.0,1112,1231,445,263,827,0,1.0,4.164597400534363,0.9240056104616423,0
2024-06-24,DC_001,South,Heineken_650_Bottle,707.0,667,900,398,198,829,0,1.0,5.129665542824354,0.7899034092784336,0
2024-01-01,DC_002,East,Heineken_330_Can,791.0,816,1008,372,393,957,0,1.0,6.5382939951514185,0.6995031949655415,0
2024-01-08,DC_002,East,Heineken_330_Can,772.0,909,974,514,353,932,0,1.0,5.645440611560448,0.8150574312603527,0
2024-01-15,DC_002,East,Heineken_330_Can,748.0,1001,1150,567,452,1168,0,1.0,6.896071702721356,0.7701090673133636,0
2024-01-22,DC_002,East,Heineken_330_Can,849.0,941,1160,451,285,955,0,1.0,4.6990683200392365,0.7120139946032367,0
2024-01-29,DC_002,East,Heineken_330_Can,708.0,1075,1284,447,356,1012,0,1.0,4.718035410770479,0.5905856846966335,0
2024-02-05,DC_002,East,Heineken_330_Can,799.0,662,771,412,172,693,0,1.0,4.71531171559767,0.752883696141356,0
2024-02-12,DC_002,East,Heineken_330_Can,1025.0,628,760,514,388,1034,0,1.0,6.977671745974691,0.6769098809613462,0
2024-02-19,DC_002,East,Heineken_330_Can,810.0,942,1015,696,289,1058,0,1.0,3.782707541415875,0.7414488010911437,0
2024-02-26,DC_002,East,Heineken_330_Can,679.0,771,901,0,245,375,0,1.0,1.6475279803015246,0.8854497557989461,0
2024-03-04,DC_002,East,Heineken_330_Can,878.0,728,899,377,119,667,0,1.0,2.5496747456153486,0.9560101184279999,0
2024-03-11,DC_002,East,Heineken_330_Can,659.0,701,980,476,259,1014,0,1.0,5.138589320202876,0.8205565318325918,0
2024-03-18,DC_002,East,Heineken_330_Can,797.0,772,850,675,590,1343,0,1.0,3.748941798734001,0.8731382100557608,0
2024-03-25,DC_002,East,Heineken_330_Can,1019.0,711,949,582,117,937,0,1.0,6.215335715199542,0.7826853004195433,0
2024-04-01,DC_002,East,Heineken_330_Can,719.0,922,1220,399,392,1089,0,1.0,5.523436668539107,0.9240725999277885,0
2024-04-08,DC_002,East,Heineken_330_Can,719.0,810,1014,478,347,1029,0,1.0,6.569640715292271,0.7712523775037033,0
2024-04-15,DC_002,East,Heineken_330_Can,999.0,1273,1409,538,310,984,0,1.0,6.946905923558167,0.7632495450670538,0
2024-04-22,DC_002,East,Heineken_330_Can,813.0,901,1161,466,296,1022,0,1.0,2.7580195775839353,0.739788779135384,0
2024-04-29,DC_002,East,Heineken_330_Can,906.0,878,1008,285,257,672,0,1.0,5.236247828652328,0.7345287652878492,0
2024-05-06,DC_002,East,Heineken_330_Can,687.0,699,827,663,575,1366,0,1.0,3.64587904655883,0.7510631280247627,0
2024-05-13,DC_002,East,Heineken_330_Can,,888,1035,298,441,886,0,1.0,8.43303991731657,0.9215082979952807,0
2024-05-20,DC_002,East,Heineken_330_Can,934.0,438,674,777,236,1249,0,1.0,5.6176848123084255,0.7585321543302465,0
2024-05-27,DC_002,East,Heineken_330_Can,800.0,816,881,550,86,701,0,1.0,5.45703016066119,0.6666315755582202,0
2024-06-03,DC_002,East,Heineken_330_Can,746.0,732,915,720,96,999,0,1.0,5.652190020573729,0.6289850963354563,0
2024-06-10,DC_002,East,Heineken_330_Can,976.0,972,1192,410,193,823,0,1.0,5.421955269970875,0.8343719392828153,0
2024-06-17,DC_002,East,Heineken_330_Can,888.0,862,1055,495,305,993,0,1.0,2.8766582211232845,0.6134430497801456,0
2024-06-24,DC_002,East,Heineken_330_Can,793.0,985,1196,530,4,745,0,1.0,3.8465244437033244,0.8366820067119011,0
2024-01-01,DC_002,East,Heineken_650_Bottle,521.0,553,661,569,313,990,0,1.0,5.3823681556144365,0.9171564835302088,0
2024-01-08,DC_002,East,Heineken_650_Bottle,547.0,492,588,376,132,604,0,1.0,7.7101034893801055,0.7174592374405858,0
2024-01-15,DC_002,East,Heineken_650_Bottle,496.0,431,718,320,72,679,0,1.0,4.657905824554577,0.712762273661178,0
2024-01-22,DC_002,East,Heineken_650_Bottle,606.0,517,606,385,343,817,0,1.0,3.9396812571996462,0.8055670938002617,0
2024-01-29,DC_002,East,Heineken_650_Bottle,610.0,478,711,452,251,936,0,1.0,5.1550999923698475,0.8625011877781147,0
2024-02-05,DC_002,East,Heineken_650_Bottle,476.0,322,399,198,167,442,0,1.0,3.8381133260392306,0.7144977310235193,0
2024-02-12,DC_002,East,Heineken_650_Bottle,610.0,631,890,137,298,694,0,1.0,5.459454143227884,0.6144101905115781,0
2024-02-19,DC_002,East,Heineken_650_Bottle,583.0,651,795,284,312,740,0,1.0,7.225317075610844,0.8219119780942432,0
2024-02-26,DC_002,East,Heineken_650_Bottle,607.0,659,850,557,307,1055,0,1.0,4.83426928693426,0.8410377418994488,0
2024-03-04,DC_002,East,Heineken_650_Bottle,558.0,478,550,17,290,379,0,1.0,3.569842331361575,0.7250579155642295,0
2024-03-11,DC_002,East,Heineken_650_Bottle,631.0,643,814,308,388,867,0,1.0,3.4316367221513673,0.9260738532891365,0
2024-03-18,DC_002,East,Heineken_650_Bottle,,798,905,291,127,525,0,1.0,7.5309600265345225,0.7473693918293443,0
2024-03-25,DC_002,East,Heineken_650_Bottle,713.0,939,1117,302,220,700,0,1.0,2.543928777209304,0.8867418905161746,0
2024-04-01,DC_002,East,Heineken_650_Bottle,604.0,570,801,248,148,627,0,1.0,3.4556951686155095,0.777522434431971,0
2024-04-08,DC_002,East,Heineken_650_Bottle,633.0,312,427,279,223,617,0,1.0,4.678606334903264,0.6395903202474229,0
2024-04-15,DC_002,East,Heineken_650_Bottle,535.0,600,884,393,291,968,0,1.0,7.523824960072929,0.6052746409709258,0
2024-04-22,DC_002,East,Heineken_650_Bottle,571.0,589,671,630,184,896,0,1.0,3.9683085855353366,0.8526468097917949,0
2024-04-29,DC_002,East,Heineken_650_Bottle,398.0,285,509,305,358,887,0,1.0,7.306798593676339,0.7286213087140296,0
2024-05-06,DC_002,East,Heineken_650_Bottle,793.0,920,1032,151,225,488,0,1.0,4.291628982070754,0.8869797636740159,0
2024-05-13,DC_002,East,Heineken_650_Bottle,619.0,760,999,77,158,474,0,1.0,4.365773716745247,0.6130202945027473,0
2024-05-20,DC_002,East,Heineken_650_Bottle,648.0,549,741,539,102,833,0,1.0,5.08052572578081,0.8593241072437503,0
2024-05-27,DC_002,East,Heineken_650_Bottle,410.0,483,696,253,283,749,0,1.0,3.916829422087304,0.8491687194019225,0
2024-06-03,DC_002,East,Heineken_650_Bottle,552.0,521,741,431,352,1003,0,1.0,6.456478050542113,0.7675314501395945,0
2024-06-10,DC_002,East,Heineken_650_Bottle,833.0,877,1051,486,202,862,0,1.0,4.333808558570077,0.6538646640154404,0
2024-06-17,DC_002,East,Heineken_650_Bottle,588.0,526,668,144,407,693,0,1.0,4.718184526972112,0.8408768576040355,0
2024-06-24,DC_002,East,Heineken_650_Bottle,576.0,891,1023,328,401,861,0,1.0,5.384913529209064,0.7822433859112241,0
2024-01-01,DC_003,East,Heineken_330_Can,748.0,400,584,539,73,796,0,1.0,5.460497288044063,0.6466182743734321,0
2024-01-08,DC_003,East,Heineken_330_Can,900.0,651,701,758,271,1079,0,1.0,2.3431892491589386,0.7929848208495441,0
2024-01-15,DC_003,East,Heineken_330_Can,983.0,875,939,428,310,802,0,1.0,2.9511325743962313,0.7028768088099424,0
2024-01-22,DC_003,East,Heineken_330_Can,695.0,654,944,482,344,1116,0,1.0,4.407924152940679,0.6242686683442623,0
2024-01-29,DC_003,East,Heineken_330_Can,717.0,891,958,434,437,938,0,1.0,5.332279225388471,0.6020452402319,0
2024-02-05,DC_003,East,Heineken_330_Can,792.0,612,780,546,440,1154,0,1.0,6.940347125746133,0.588090787083137,0
2024-02-12,DC_003,East,Heineken_330_Can,773.0,1029,1266,570,125,932,0,1.0,6.618341135046588,0.7150487164471806,0
2024-02-19,DC_003,East,Heineken_330_Can,720.0,605,750,447,638,1230,0,1.0,6.828103957228426,0.8238729004906271,0
2024-02-26,DC_003,East,Heineken_330_Can,953.0,1015,1296,313,382,976,0,1.0,7.484033050269878,0.8370700796812096,0
2024-03-04,DC_003,East,Heineken_330_Can,985.0,1272,1415,203,157,503,0,1.0,4.430514446709033,0.611706481685577,0
2024-03-11,DC_003,East,Heineken_330_Can,784.0,792,1079,472,362,1121,0,1.0,4.063854619317516,0.7235394886747435,0
2024-03-18,DC_003,East,Heineken_330_Can,883.0,578,748,426,136,732,0,1.0,6.287946659090048,0.7788273800263736,0
2024-03-25,DC_003,East,Heineken_330_Can,918.0,764,1023,367,390,1016,0,1.0,1.6239784560805575,0.7308127673622992,0
2024-04-01,DC_003,East,Heineken_330_Can,783.0,513,595,564,471,1117,0,1.0,4.548639869855798,0.7013559941480749,0
2024-04-08,DC_003,East,Heineken_330_Can,634.0,516,709,188,419,800,0,1.0,5.629251821815124,0.6816441132429022,0
2024-04-15,DC_003,East,Heineken_330_Can,544.0,362,611,476,347,1072,0,1.0,4.592146102636648,0.8037051305221092,0
2024-04-22,DC_003,East,Heineken_330_Can,1000.0,747,942,201,308,704,0,1.0,6.717950224118091,0.7026091487554681,0
2024-04-29,DC_003,East,Heineken_330_Can,939.0,980,1153,447,188,808,0,1.0,3.2944001617241936,0.6925825710659813,0
2024-05-06,DC_003,East,Heineken_330_Can,682.0,563,663,342,90,532,0,1.0,4.737354924542077,0.8126266084833125,0
2024-05-13,DC_003,East,Heineken_330_Can,869.0,570,847,576,20,873,0,1.0,5.399405344438236,0.6415445095986235,0
2024-05-20,DC_003,East,Heineken_330_Can,788.0,748,919,625,303,1099,0,1.0,5.748195859549618,0.9049718384667247,0
2024-05-27,DC_003,East,Heineken_330_Can,975.0,532,700,467,205,840,0,1.0,3.3899771689174596,0.7435093868795482,0
2024-06-03,DC_003,East,Heineken_330_Can,840.0,701,968,511,110,888,0,1.0,6.057714142451301,1.0128176986912143,0
2024-06-10,DC_003,East,Heineken_330_Can,806.0,795,1017,246,363,831,0,1.0,1.4295505648559779,0.6912785302540154,0
2024-06-17,DC_003,East,Heineken_330_Can,719.0,863,919,357,389,802,0,1.0,5.266717425673862,0.684066500314989,0
2024-06-24,DC_003,East,Heineken_330_Can,784.0,994,1284,674,339,1303,0,1.0,4.658672188249392,0.808708122177102,0
2024-01-01,DC_003,East,Heineken_650_Bottle,529.0,536,657,200,180,501,0,1.0,3.3287886781716254,0.7264923909900657,0
2024-01-08,DC_003,East,Heineken_650_Bottle,699.0,604,834,374,281,885,0,1.0,3.811761290157467,0.708011207917273,0
2024-01-15,DC_003,East,Heineken_650_Bottle,607.0,603,667,112,122,298,0,1.0,5.937188799257415,0.7385834936734994,0
2024-01-22,DC_003,East,Heineken_650_Bottle,669.0,307,463,248,347,751,0,1.0,3.989785114531983,0.7175302750365823,0
2024-01-29,DC_003,East,Heineken_650_Bottle,530.0,414,581,314,54,535,0,1.0,5.342533224729263,0.708489405826208,0
2024-02-05,DC_003,East,Heineken_650_Bottle,550.0,641,772,238,286,655,0,1.0,4.99773264871905,0.8059685058689108,0
2024-02-12,DC_003,East,Heineken_650_Bottle,721.0,681,753,398,157,627,0,1.0,1.5716845763889795,0.9601414975898407,0
2024-02-19,DC_003,East,Heineken_650_Bottle,621.0,736,941,433,206,844,0,1.0,5.043738598497963,0.9505852205621065,0
2024-02-26,DC_003,East,Heineken_650_Bottle,582.0,556,663,359,186,652,0,1.0,5.2801392874579856,0.7123614335012831,0
2024-03-04,DC_003,East,Heineken_650_Bottle,697.0,588,639,226,208,485,0,1.0,,0.7897542754993155,0
2024-03-11,DC_003,East,Heineken_650_Bottle,629.0,626,728,402,425,929,0,1.0,8.301631930707169,0.6407864818119068,0
2024-03-18,DC_003,East,Heineken_650_Bottle,541.0,582,836,150,214,618,0,1.0,6.132411286264164,0.8664461749775159,0
2024-03-25,DC_003,East,Heineken_650_Bottle,527.0,656,712,374,176,606,0,1.0,3.672831414211169,0.6681192764887527,0
2024-04-01,DC_003,East,Heineken_650_Bottle,587.0,596,820,159,175,558,0,1.0,4.863216328498735,0.878661841845086,0
2024-04-08,DC_003,East,Heineken_650_Bottle,580.0,456,693,189,163,589,0,1.0,5.533239859123257,0.9326192609664488,0
2024-04-15,DC_003,East,Heineken_650_Bottle,640.0,634,689,262,241,558,0,1.0,4.828453808347577,0.6864282876610033,0
2024-04-22,DC_003,East,Heineken_650_Bottle,439.0,413,474,426,255,742,0,1.0,6.33023831629134,0.6702499699632665,0
2024-04-29,DC_003,East,Heineken_650_Bottle,609.0,698,861,234,217,614,0,1.0,3.254669781340052,0.8448538573595243,0
2024-05-06,DC_003,East,Heineken_650_Bottle,675.0,641,715,396,224,694,0,1.0,4.217074140315216,0.6620010296868876,0
2024-05-13,DC_003,East,Heineken_650_Bottle,544.0,307,431,364,345,833,0,1.0,7.38367929100591,0.8145804699824098,0
2024-05-20,DC_003,East,Heineken_650_Bottle,728.0,813,955,334,202,678,0,1.0,5.784282373520425,0.6493065123008211,0
2024-05-27,DC_003,East,Heineken_650_Bottle,,495,785,340,278,908,0,1.0,3.159716580455041,0.6071753400880785,0
2024-06-03,DC_003,East,Heineken_650_Bottle,657.0,782,1002,452,295,967,0,1.0,6.536467997236423,0.7523716146563273,0
2024-06-10,DC_003,East,Heineken_650_Bottle,571.0,534,738,386,269,859,0,1.0,3.2787582948046534,0.8583063227045282,0
2024-06-17,DC_003,East,Heineken_650_Bottle,437.0,342,527,212,125,522,0,1.0,3.571671927579299,0.5080223600035921,0
2024-06-24,DC_003,East,Heineken_650_Bottle,547.0,536,764,411,240,879,0,1.0,4.540898312947311,0.6387997372632817,0
2024-01-01,DC_004,East,Heineken_330_Can,712.0,742,834,520,358,970,0,1.0,6.088180041242035,0.8092982921004295,0
2024-01-08,DC_004,East,Heineken_330_Can,773.0,985,1210,627,353,1205,0,1.0,7.796638279324163,0.9184674079497291,0
2024-01-15,DC_004,East,Heineken_330_Can,750.0,638,821,400,189,772,0,1.0,4.211048683587733,0.7281688912771842,0
2024-01-22,DC_004,East,Heineken_330_Can,802.0,608,865,646,214,1117,0,1.0,4.410075794666274,0.7982692285253459,0
2024-01-29,DC_004,East,Heineken_330_Can,941.0,980,1093,448,291,852,0,1.0,4.7857344297221385,0.8340250580014141,0
2024-02-05,DC_004,East,Heineken_330_Can,822.0,738,846,790,384,1282,0,1.0,4.314313182486429,0.8147632796184134,0
2024-02-12,DC_004,East,Heineken_330_Can,832.0,649,913,246,362,872,0,1.0,5.489290526072862,0.7786951836557426,0
2024-02-19,DC_004,East,Heineken_330_Can,842.0,679,937,646,286,1190,0,1.0,2.878411377490712,0.8724257363788144,0
2024-02-26,DC_004,East,Heineken_330_Can,884.0,1208,1358,421,209,780,0,1.0,3.9039697130062576,0.7570603872370655,0
2024-03-04,DC_004,East,Heineken_330_Can,596.0,658,837,427,145,751,0,1.0,5.739595824035354,0.6923088975433357,0
2024-03-11,DC_004,East,Heineken_330_Can,,494,713,388,343,950,0,1.0,3.106952981176382,0.7157327635444648,0
2024-03-18,DC_004,East,Heineken_330_Can,898.0,948,1112,679,313,1156,0,1.0,2.5524450199715587,0.7657859370582303,0
2024-03-25,DC_004,East,Heineken_330_Can,760.0,1016,1172,424,194,774,0,1.0,6.496877961745,0.6479808266853853,0
2024-04-01,DC_004,East,Heineken_330_Can,552.0,697,928,686,310,1227,0,1.0,3.2242938694367265,0.7869195347474753,0
2024-04-08,DC_004,East,Heineken_330_Can,724.0,700,890,502,405,1097,0,1.0,2.5393718671481906,0.6923198074891788,0
2024-04-15,DC_004,East,Heineken_330_Can,850.0,742,1023,455,242,978,0,1.0,6.056064955344424,0.5616379337495139,0
2024-04-22,DC_004,East,Heineken_330_Can,643.0,688,901,698,295,1206,0,1.0,5.372285210482055,0.8194149815386689,0
2024-04-29,DC_004,East,Heineken_330_Can,1024.0,1059,1220,310,235,706,0,1.0,4.099912453691704,0.715502797096812,0
2024-05-06,DC_004,East,Heineken_330_Can,954.0,983,1281,451,99,848,0,1.0,2.881334047550549,0.65128214819824,0
2024-05-13,DC_004,East,Heineken_330_Can,946.0,927,1102,160,313,648,0,1.0,,,0
2024-05-20,DC_004,East,Heineken_330_Can,911.0,1017,1158,188,347,676,0,1.0,5.642472219679488,0.7938611945701999,0
2024-05-27,DC_004,East,Heineken_330_Can,710.0,743,950,560,365,1132,0,1.0,3.753320755987761,0.6956001319748261,0
2024-06-03,DC_004,East,Heineken_330_Can,575.0,678,729,361,321,733,0,1.0,3.6245165476765218,0.7202489079517672,0
2024-06-10,DC_004,East,Heineken_330_Can,609.0,679,913,566,291,1091,0,1.0,3.704626336221471,0.8957904616082104,0
2024-06-17,DC_004,East,Heineken_330_Can,731.0,702,934,222,343,797,0,1.0,4.943218654456086,0.7588308076063518,0
2024-06-24,DC_004,East,Heineken_330_Can,1021.0,596,870,594,356,1224,0,1.0,6.30654981329121,0.8212309273331834,0
2024-01-01,DC_004,East,Heineken_650_Bottle,604.0,674,821,409,229,785,0,1.0,2.6136998904038,0.7741181821578557,0
2024-01-08,DC_004,East,Heineken_650_Bottle,484.0,492,599,466,287,860,0,1.0,5.119863719078203,0.6981899400627335,0
2024-01-15,DC_004,East,Heineken_650_Bottle,824.0,953,1183,487,36,753,0,1.0,7.448025097027612,0.661087233308771,0
2024-01-22,DC_004,East,Heineken_650_Bottle,584.0,584,723,451,241,831,0,1.0,3.531378089013727,0.8853802881042556,0
2024-01-29,DC_004,East,Heineken_650_Bottle,489.0,755,1045,306,131,727,0,1.0,2.9546593696314276,0.7533017028856478,0
2024-02-05,DC_004,East,Heineken_650_Bottle,598.0,503,708,324,301,830,0,1.0,5.8915995272496415,0.6563220974039221,0
2024-02-12,DC_004,East,Heineken_650_Bottle,623.0,452,734,374,267,923,0,1.0,5.450842043172225,0.6805667886826733,0
2024-02-19,DC_004,East,Heineken_650_Bottle,375.0,542,606,398,249,711,0,1.0,4.3009676517626865,0.8046668520784601,0
2024-02-26,DC_004,East,Heineken_650_Bottle,818.0,692,833,401,165,707,0,1.0,4.533451069983376,0.7519321616834272,0
2024-03-04,DC_004,East,Heineken_650_Bottle,611.0,580,849,579,301,1149,0,1.0,4.299278159702504,0.6224300822900954,0
2024-03-11,DC_004,East,Heineken_650_Bottle,602.0,411,505,462,303,859,0,1.0,2.3648476607626607,0.6484889439987489,0
2024-03-18,DC_004,East,Heineken_650_Bottle,633.0,526,586,487,173,720,0,1.0,4.693885631669791,0.6953792032357243,0
2024-03-25,DC_004,East,Heineken_650_Bottle,588.0,556,633,215,152,444,0,1.0,4.89294019620586,0.7091134511938164,0
2024-04-01,DC_004,East,Heineken_650_Bottle,552.0,620,811,418,143,752,0,1.0,4.387911149807824,0.6521467095665958,0
2024-04-08,DC_004,East,Heineken_650_Bottle,617.0,705,790,344,428,857,0,1.0,3.7630677035906928,0.7683992064712973,0
2024-04-15,DC_004,East,Heineken_650_Bottle,612.0,660,801,504,374,1019,0,1.0,6.409468221766751,0.6221547318319993,0
2024-04-22,DC_004,East,Heineken_650_Bottle,586.0,543,675,570,206,908,0,1.0,3.173713359055968,0.7609798096911778,0
2024-04-29,DC_004,East,Heineken_650_Bottle,549.0,597,883,503,265,1054,0,1.0,6.7875887527580465,0.7832234152565165,0
2024-05-06,DC_004,East,Heineken_650_Bottle,506.0,412,633,521,152,894,0,1.0,5.811255169683609,0.9466031255799163,0
2024-05-13,DC_004,East,Heineken_650_Bottle,427.0,466,730,638,115,1017,0,1.0,8.019127451274482,0.8255128189582706,0
2024-05-20,DC_004,East,Heineken_650_Bottle,609.0,466,553,502,164,753,0,1.0,7.2237661628492065,0.8565980116209327,0
2024-05-27,DC_004,East,Heineken_650_Bottle,585.0,433,708,549,233,1057,0,1.0,8.40766957607665,0.9055652794819664,0
2024-06-03,DC_004,East,Heineken_650_Bottle,644.0,455,639,499,153,836,0,1.0,4.416562234678574,0.7600662812547593,0
2024-06-10,DC_004,East,Heineken_650_Bottle,588.0,523,673,293,302,745,0,1.0,3.4630924949639343,0.5864810952266007,0
2024-06-17,DC_004,East,Heineken_650_Bottle,510.0,482,619,353,176,666,0,1.0,5.794481157248091,0.8368026982040296,0
2024-06-24,DC_004,East,Heineken_650_Bottle,,996,1051,364,152,571,0,1.0,7.475907639453307,0.9441804160628856,0
2024-01-01,DC_005,South,Heineken_330_Can,814.0,694,860,468,259,893,0,1.0,5.548766235118039,0.7234403069110537,0
2024-01-08,DC_005,South,Heineken_330_Can,779.0,383,549,510,352,1028,0,1.0,6.234715820317347,0.477689704240957,0
2024-01-15,DC_005,South,Heineken_330_Can,780.0,872,1151,462,590,1331,0,1.0,3.6060595153283135,0.8130011136341943,0
2024-01-22,DC_005,South,Heineken_330_Can,869.0,727,1000,422,194,889,0,1.0,4.897831023205894,0.7757259072760413,0
2024-01-29,DC_005,South,Heineken_330_Can,747.0,520,777,783,467,1507,0,1.0,3.606068235869829,0.6712518783108864,0
