transaction_id,date,region,city,outlet_type,sales_channel,customer_type,brand,pack_size_ml,pack_type,promo_flag,promo_type,discount_pct,competitor_price_index,units_sold,base_price_per_unit,gross_sales_value,net_sales_value,stock_at_start,stock_at_end,oos_flag,weather,temp_c,event
TXN_000046,2024-03-17,West,Mumbai,Convenience Store,Off-Trade,Retail Chain,Local_Brand_A,500,Can,1,Digital_Coupon,0.107,0.918,39,140.66,5485.7,4896.86,64,29,0,Rainy,26.6,None
TXN_000047,2024-06-17,South,Bengaluru,Convenience Store,Off-Trade,Independent Store,Budweiser,500,Bottle,1,Display,0.063,1.019,18,177.85,3201.38,2999.08,41,28,0,Sunny,28.9,None
TXN_000048,2024-04-16,South,Bengaluru,Hypermarket,Off-Trade,Retail Chain,Kingfisher,1000,Bottle,0,None,0.05,1.065,45,249.55,11229.76,10670.46,67,21,0,Cloudy,29.2,None
TXN_000049,2024-11-21,North,Delhi,Convenience Store,Off-Trade,Retail Chain,Heineken,650,Can,1,Display,0.191,1.101,36,203.57,7328.54,5928.37,51,15,0,Cool,25.0,None
TXN_000050,2024-03-05,South,Bengaluru,Supermarket,Off-Trade,Retail Chain,Heineken,650,Draft,1,Bundle,0.261,1.138,63,238.95,15054.09,11131.21,87,22,0,Rainy,29.5,None
TXN_000051,2024-11-27,South,Chennai,Supermarket,Off-Trade,Independent Store,Budweiser,1000,Bottle,0,None,0.039,1.04,30,242.7,7281.11,6999.75,57,25,0,Rainy,28.1,Sports_Event
TXN_000052,2024-11-10,West,Mumbai,Supermarket,Off-Trade,Retail Chain,Local_Brand_B,500,Bottle,1,Digital_Coupon,0.115,,62,133.48,8275.87,7327.21,100,47,0,Sunny,29.6,None
TXN_000053,2024-10-05,East,Bhubaneswar,Supermarket,Off-Trade,Retail Chain,Budweiser,650,Can,1,Display,0.153,0.97,56,190.66,10677.19,9046.8,97,36,0,Rainy,24.4,Long_Weekend
TXN_000054,2024-07-24,West,Ahmedabad,Bar/Restaurant,On-Trade,Retail Chain,Heineken,650,Can,0,None,0.022,1.049,57,217.14,12377.13,12100.23,78,24,0,Sunny,30.3,None
TXN_000055,2024-05-26,West,Ahmedabad,Convenience Store,Off-Trade,Modern Trade,Local_Brand_B,330,Bottle,0,None,0.044,1.157,26,111.77,2906.07,2778.24,40,19,0,Cloudy,36.2,None
TXN_000056,2024-09-28,South,Hyderabad,Supermarket,Off-Trade,Modern Trade,Kingfisher,650,Keg,1,Display,0.226,1.043,102,183.42,18708.79,14474.1,172,77,0,Sunny,28.0,Sports_Event
TXN_000057,2024-09-10,South,Hyderabad,Convenience Store,Off-Trade,Independent Store,Local_Brand_A,1000,Bottle,0,None,0.022,1.045,38,204.4,7767.29,7599.86,70,30,0,Sunny,27.0,Sports_Event
TXN_000058,2024-06-07,South,Chennai,Hypermarket,Off-Trade,HoReCa,Kingfisher,650,Bottle,0,None,0.022,0.948,75,190.22,14266.81,13946.03,102,23,0,Sunny,29.0,None
TXN_000059,2024-06-29,West,Surat,Hypermarket,Off-Trade,Retail Chain,Local_Brand_B,1000,Draft,1,Price_Off,0.293,1.002,124,195.95,24297.32,17190.25,144,25,0,Cool,26.4,None
TXN_000060,2024-03-11,South,Kochi,Bar/Restaurant,On-Trade,Modern Trade,Kingfisher,330,Bottle,1,Digital_Coupon,0.159,0.957,68,135.88,9239.63,7771.38,102,38,0,Sunny,29.1,None
TXN_000061,2024-12-31,West,Mumbai,Convenience Store,Off-Trade,Retail Chain,Heineken,330,Can,0,None,0.026,0.929,21,164.8,3460.81,3369.22,40,16,0,Rainy,27.6,None
TXN_000062,2024-06-03,North,Lucknow,Supermarket,Off-Trade,Independent Store,Budweiser,330,Can,0,None,0.014,0.951,37,146.55,5422.45,5346.92,54,14,0,Sunny,25.8,None
TXN_000063,2024-07-27,South,Kochi,Supermarket,Off-Trade,HoReCa,Heineken,330,Can,0,None,0.036,0.964,46,162.88,7492.67,7219.82,67,23,0,Rainy,27.2,None
TXN_000064,2024-09-27,South,Bengaluru,Supermarket,Off-Trade,Independent Store,Local_Brand_B,500,Can,1,Display,0.102,1.062,76,122.35,9298.54,8345.78,101,27,0,Sunny,28.7,None
TXN_000065,2024-09-12,North,Lucknow,Supermarket,Off-Trade,HoReCa,Heineken,1000,Bottle,0,None,0.044,0.8,100,272.5,27250.0,26055.87,191,89,0,Sunny,25.6,Sports_Event
TXN_000066,2024-09-01,North,Delhi,Hypermarket,Off-Trade,Retail Chain,Local_Brand_B,650,Bottle,0,None,0.028,0.948,50,152.82,7640.94,7424.11,77,32,0,Cloudy,27.7,None
TXN_000067,2024-12-25,South,Chennai,Bar/Restaurant,On-Trade,Retail Chain,Kingfisher,650,Bottle,0,None,0.026,1.022,68,183.75,12494.75,12164.74,111,46,0,Sunny,28.9,None
TXN_000068,2024-05-09,West,Mumbai,Supermarket,Off-Trade,Independent Store,Local_Brand_A,330,Bottle,0,None,0.007,1.044,34,125.47,4266.12,4238.31,57,26,0,Rainy,29.4,None
TXN_000069,2024-02-13,South,Chennai,Convenience Store,Off-Trade,Retail Chain,Kingfisher,330,Bottle,0,None,0.026,1.102,17,143.78,2444.31,2379.95,28,9,0,Rainy,26.7,None
TXN_000070,2024-07-05,West,Ahmedabad,Supermarket,Off-Trade,Modern Trade,Budweiser,650,Can,0,None,0.0,0.991,72,191.43,13782.74,13776.87,142,67,0,Sunny,28.5,None
TXN_000071,2024-12-23,East,Guwahati,Supermarket,Off-Trade,Independent Store,Heineken,500,Can,1,Digital_Coupon,0.14,0.965,68,182.51,12410.6,10670.15,78,17,0,Sunny,26.6,Long_Weekend
TXN_000072,2024-07-02,West,Ahmedabad,Bar/Restaurant,On-Trade,Retail Chain,Heineken,650,Bottle,1,,0.26,0.937,84,212.68,17865.37,13223.14,99,20,0,Cloudy,30.3,None
TXN_000073,2024-01-26,West,Pune,Hypermarket,Off-Trade,Retail Chain,Kingfisher,650,Keg,1,Bundle,0.161,,173,178.64,30905.35,25914.21,320,154,0,Sunny,30.5,Sports_Event
TXN_000074,2024-11-08,East,Patna,Supermarket,Off-Trade,Modern Trade,Local_Brand_A,1000,Keg,1,Price_Off,0.167,0.927,64,191.21,12237.36,10191.14,115,60,0,Sunny,28.7,None
TXN_000075,2024-11-01,South,Kochi,Supermarket,Off-Trade,Retail Chain,Local_Brand_A,500,Draft,0,None,0.012,0.913,30,159.15,4774.51,4715.51,55,32,0,Sunny,31.0,None
TXN_000076,2024-09-25,South,Chennai,Hypermarket,Off-Trade,Retail Chain,Kingfisher,650,Can,0,None,0.003,1.01,41,186.61,7651.12,7624.85,60,21,0,Sunny,27.4,None
TXN_000077,2024-01-19,West,Ahmedabad,Supermarket,Off-Trade,HoReCa,Budweiser,1000,Draft,0,None,0.001,1.171,76,279.2,21218.84,21196.33,149,69,0,Sunny,32.4,Festival
TXN_000078,2024-01-02,West,Pune,Supermarket,Off-Trade,Modern Trade,Budweiser,650,Bottle,0,None,0.049,0.978,43,195.65,8412.97,7997.84,63,16,0,Humid,30.1,Sports_Event
TXN_000079,2024-02-21,East,Patna,E-commerce,Off-Trade,Retail Chain,Budweiser,650,Keg,0,None,0.029,1.007,38,202.93,7711.32,7487.65,55,20,0,Cloudy,26.4,None
TXN_000080,2024-08-21,North,Chandigarh,Supermarket,Off-Trade,Modern Trade,Local_Brand_B,500,Can,1,Display,0.138,1.051,49,127.22,6233.81,5373.69,73,19,0,Cool,24.0,None
TXN_000081,2024-10-31,South,Chennai,Supermarket,Off-Trade,Modern Trade,Budweiser,500,Can,0,None,0.042,0.987,33,174.88,5771.08,5528.19,60,30,0,Cloudy,30.6,None
TXN_000082,2024-02-26,West,Ahmedabad,Supermarket,Off-Trade,HoReCa,Local_Brand_A,500,Bottle,0,None,0.031,1.089,39,137.55,5364.47,5200.62,63,32,0,Cloudy,29.4,None
TXN_000083,2024-12-08,West,Pune,Convenience Store,Off-Trade,Independent Store,Budweiser,650,Keg,0,None,,1.068,32,211.04,6753.44,6437.15,56,27,0,Humid,31.7,None
TXN_000084,2024-01-04,East,Guwahati,Convenience Store,Off-Trade,Independent Store,Kingfisher,500,Can,0,None,0.003,0.986,11,163.89,1802.84,1796.87,28,14,0,,26.9,None
TXN_000085,2024-03-08,North,Jaipur,E-commerce,Off-Trade,Retail Chain,Kingfisher,1000,Keg,0,None,0.03,0.9,38,231.39,8792.99,8529.26,68,32,0,Sunny,23.6,Sports_Event
TXN_000086,2024-05-19,South,Kochi,Supermarket,Off-Trade,Modern Trade,Kingfisher,650,Can,0,None,0.015,1.094,20,179.56,3591.15,3538.73,34,21,0,Cool,28.1,None
TXN_000087,2024-05-29,West,Mumbai,Supermarket,Off-Trade,Modern Trade,Heineken,650,Bottle,1,Bundle,0.064,0.882,61,215.95,13173.2,12326.03,105,51,0,Humid,29.6,None
TXN_000088,2024-04-13,East,Patna,Convenience Store,Off-Trade,Independent Store,Kingfisher,330,Can,0,None,0.045,1.033,13,134.76,1751.82,1673.46,32,28,0,Sunny,26.0,None
TXN_000089,2024-12-20,South,Hyderabad,Supermarket,Off-Trade,HoReCa,Heineken,330,Draft,0,None,0.006,0.9,67,179.2,12006.16,11937.1,121,57,0,Cloudy,27.3,Concert
TXN_000090,2024-01-04,West,Mumbai,Convenience Store,Off-Trade,Modern Trade,Heineken,330,Bottle,0,None,0.049,0.967,41,157.65,6463.73,6146.8,66,34,0,Sunny,29.4,None
TXN_000091,2024-09-16,East,Kolkata,Supermarket,Off-Trade,HoReCa,Local_Brand_A,1000,Can,0,None,0.041,0.875,28,195.8,5482.26,5257.09,55,32,0,Rainy,26.7,Sports_Event
TXN_000092,2024-08-31,East,Patna,Hypermarket,Off-Trade,Independent Store,Kingfisher,500,Can,0,None,0.003,0.958,45,161.67,7275.3,7252.94,71,30,0,Cloudy,,None
TXN_000093,2024-08-10,South,Bengaluru,Convenience Store,Off-Trade,Independent Store,Kingfisher,1000,Bottle,1,Digital_Coupon,0.077,1.115,59,240.93,14214.96,13118.4,76,24,0,Sunny,31.0,None
TXN_000094,2024-09-19,East,Patna,Convenience Store,Off-Trade,HoReCa,Budweiser,650,Bottle,1,Price_Off,0.16,0.896,35,206.42,7224.71,6065.24,61,27,0,Rainy,27.2,None
TXN_000095,2024-09-22,South,Hyderabad,Bar/Restaurant,On-Trade,Retail Chain,Budweiser,1000,Can,1,Digital_Coupon,0.102,1.002,79,252.9,19978.85,17938.58,127,47,0,Cloudy,27.8,Sports_Event
TXN_000096,2024-03-28,East,Kolkata,Hypermarket,Off-Trade,HoReCa,Heineken,650,Bottle,0,None,0.014,1.039,119,203.77,24248.33,23899.33,139,28,0,Sunny,29.5,Festival
TXN_000097,2024-01-15,South,Kochi,Convenience Store,Off-Trade,Independent Store,Local_Brand_A,500,Bottle,0,None,0.043,0.966,33,139.38,4599.48,4403.39,47,18,0,Cloudy,28.4,None
TXN_000098,2024-07-17,North,Chandigarh,Convenience Store,Off-Trade,Independent Store,Kingfisher,1000,Can,0,,0.036,1.051,35,239.87,8395.58,8095.46,63,35,0,Sunny,27.0,None
TXN_000099,2024-05-20,West,Pune,Supermarket,Off-Trade,Retail Chain,Heineken,330,Bottle,0,None,0.012,1.009,27,169.9,4587.28,4530.03,51,25,0,Humid,31.8,None
TXN_000100,2024-01-28,South,Hyderabad,Convenience Store,Off-Trade,Retail Chain,Local_Brand_A,500,Keg,0,None,0.013,1.058,31,138.03,4279.08,4224.62,49,24,0,Rainy,26.1,None
TXN_000101,2024-10-21,North,Delhi,Supermarket,Off-Trade,Retail Chain,Budweiser,500,Bottle,1,Digital_Coupon,0.229,0.998,38,175.68,6675.8,5144.56,56,15,0,Cloudy,27.6,None
TXN_000102,2024-11-26,North,Delhi,Convenience Store,Off-Trade,Modern Trade,Local_Brand_B,330,Bottle,1,Bundle,0.214,1.049,25,102.19,2554.77,2008.18,41,15,0,,25.6,None
TXN_000103,2024-12-21,South,Chennai,Hypermarket,Off-Trade,HoReCa,Local_Brand_B,650,Can,0,None,0.046,1.047,62,150.74,9345.58,8916.34,114,53,0,Cloudy,30.7,None
TXN_000104,2024-04-26,South,Chennai,Supermarket,Off-Trade,Retail Chain,Kingfisher,330,Can,0,None,0.005,0.924,48,144.12,6917.7,6882.36,67,20,0,Sunny,28.0,None
TXN_000105,2024-04-09,East,Patna,Supermarket,Off-Trade,Independent Store,Heineken,330,Can,1,Display,0.108,1.07,64,159.6,10214.47,9107.85,112,43,0,Cloudy,28.2,None
TXN_000106,2024-07-12,South,Hyderabad,Hypermarket,Off-Trade,Independent Store,Budweiser,330,Bottle,0,None,0.031,1.195,117,151.78,17758.74,17202.7,180,72,0,Sunny,28.3,None
TXN_000107,2024-10-30,East,Guwahati,Bar/Restaurant,On-Trade,Retail Chain,Kingfisher,330,Bottle,0,None,,1.093,21,153.03,3213.57,3087.84,39,22,0,Rainy,26.7,None
TXN_000108,2024-01-17,North,Jaipur,Supermarket,Off-Trade,Modern Trade,Budweiser,330,Draft,0,None,0.028,1.052,50,154.39,7719.74,7504.53,72,31,0,Sunny,26.4,None
TXN_000109,2024-05-13,North,Delhi,Convenience Store,Off-Trade,Independent Store,Local_Brand_B,330,Bottle,0,None,,1.128,31,103.2,3199.08,3086.38,46,24,0,Humid,28.2,Sports_Event
TXN_000110,2024-12-26,West,Surat,Hypermarket,Off-Trade,Independent Store,Heineken,1000,Can,1,Bundle,0.235,0.921,70,265.8,18606.04,14227.52,133,62,0,Sunny,30.7,None
TXN_000111,2024-04-19,West,Pune,Convenience Store,Off-Trade,Independent Store,Kingfisher,1000,Can,0,None,0.005,1.096,30,242.25,7267.51,7234.56,50,16,0,Cool,28.2,None
TXN_000112,2024-03-27,West,Surat,Supermarket,Off-Trade,Retail Chain,Heineken,500,Bottle,1,Bundle,0.241,0.968,54,195.19,10540.49,8003.11,63,5,0,Sunny,30.1,None
TXN_000113,2024-02-16,South,Hyderabad,Bar/Restaurant,On-Trade,Modern Trade,Budweiser,500,Bottle,0,None,0.012,0.8,108,171.52,18524.54,18302.76,189,88,0,Sunny,28.2,Sports_Event
TXN_000114,2024-09-28,North,Delhi,Supermarket,Off-Trade,Independent Store,Local_Brand_B,650,Bottle,1,Price_Off,0.09,1.079,74,146.61,10849.46,9875.74,108,33,0,,24.1,None
TXN_000115,2024-11-11,South,Kochi,Bar/Restaurant,On-Trade,Independent Store,Budweiser,330,Can,0,None,0.016,1.086,54,148.98,8045.05,7912.61,88,34,0,Sunny,31.3,None
TXN_000116,2024-10-23,West,Ahmedabad,Supermarket,Off-Trade,Modern Trade,Local_Brand_B,500,Draft,1,Bundle,0.104,1.109,43,143.94,6189.23,5543.65,61,24,0,,30.2,None
TXN_000117,2024-10-28,South,Bengaluru,Supermarket,Off-Trade,Modern Trade,Heineken,330,Keg,0,None,0.047,1.143,44,155.57,6844.98,6523.24,56,21,0,Sunny,29.0,None
TXN_000118,2024-09-13,South,Kochi,Supermarket,Off-Trade,Retail Chain,Kingfisher,330,Bottle,0,None,0.037,0.976,101,145.43,14687.94,14138.05,158,59,0,Cloudy,29.6,Festival
TXN_000119,2024-11-20,South,Chennai,Bar/Restaurant,On-Trade,HoReCa,Kingfisher,650,Bottle,0,None,0.021,1.048,55,190.18,10460.04,10245.08,107,58,0,Sunny,31.1,None
TXN_000120,2024-12-15,East,Patna,Convenience Store,Off-Trade,Retail Chain,Local_Brand_B,330,Bottle,1,Bundle,0.07,1.126,55,107.17,5894.62,5484.5,101,46,0,Sunny,27.8,None
TXN_000121,2024-03-01,South,Hyderabad,Supermarket,Off-Trade,Modern Trade,Kingfisher,500,Bottle,0,None,0.022,1.04,51,160.71,8196.14,8016.41,73,21,0,Sunny,29.1,None
TXN_000122,2024-11-17,South,Chennai,E-commerce,Off-Trade,Modern Trade,Heineken,1000,Can,1,Digital_Coupon,0.061,1.072,50,260.42,13021.22,12221.25,87,45,0,Sunny,28.3,None
TXN_000123,2024-09-11,South,Bengaluru,E-commerce,Off-Trade,Independent Store,Heineken,330,Can,0,None,0.012,1.001,32,161.44,5166.04,5102.04,51,25,0,Sunny,28.9,None
TXN_000124,2024-11-19,South,Chennai,E-commerce,Off-Trade,HoReCa,Kingfisher,330,Bottle,1,Display,0.053,1.005,44,141.77,6238.03,5904.53,73,36,0,Humid,30.1,None
TXN_000125,2024-10-27,North,Chandigarh,Supermarket,Off-Trade,Retail Chain,Kingfisher,500,Draft,0,None,0.002,0.961,48,181.93,8732.61,8716.05,77,31,0,,27.0,Sports_Event
TXN_000126,2024-11-03,North,Jaipur,Convenience Store,Off-Trade,Modern Trade,Budweiser,500,Draft,0,None,0.015,0.965,26,187.72,4880.66,4806.3,38,19,0,Sunny,24.0,None
TXN_000127,2024-05-15,North,Jaipur,Supermarket,Off-Trade,Independent Store,Local_Brand_A,330,Bottle,1,,0.186,1.002,71,122.14,8671.97,7060.35,93,18,0,Sunny,24.3,None
TXN_000128,2024-03-29,West,Surat,Hypermarket,Off-Trade,Retail Chain,Kingfisher,650,Bottle,1,Bundle,0.236,1.061,146,176.88,25824.6,19724.54,279,136,0,Rainy,26.6,Long_Weekend
TXN_000129,2024-05-21,West,Ahmedabad,E-commerce,Off-Trade,Independent Store,Local_Brand_A,650,Draft,0,None,0.043,0.965,41,168.72,6917.56,6620.07,56,20,0,Cool,28.0,None
TXN_000130,2024-12-30,North,Delhi,Convenience Store,Off-Trade,Modern Trade,Kingfisher,330,Draft,1,Digital_Coupon,0.052,1.073,28,159.35,4461.79,4229.25,39,20,0,Cloudy,25.7,Festival
TXN_000131,2024-11-15,North,Chandigarh,Convenience Store,Off-Trade,Independent Store,Heineken,650,Bottle,0,None,,0.969,23,213.56,4911.95,4877.86,46,26,0,Cloudy,27.2,None
TXN_000132,2024-12-06,South,Kochi,E-commerce,Off-Trade,Independent Store,Kingfisher,1000,Bottle,1,Price_Off,0.065,0.87,64,242.3,15507.02,14506.75,102,41,0,Sunny,31.8,None
TXN_000133,2024-04-29,West,Surat,Supermarket,Off-Trade,HoReCa,Budweiser,1000,Draft,1,Bundle,0.184,1.061,58,284.38,16494.15,13460.37,114,63,0,Sunny,32.4,None
TXN_000134,2024-09-07,West,Mumbai,Convenience Store,Off-Trade,Independent Store,Budweiser,650,Can,1,Display,0.101,1.014,37,205.89,7617.78,6851.69,63,26,0,Sunny,29.9,None
